datetime_local,Air temperature (degC),Dew point temperature (degC),Relative humidity (%),Wind speed (km.h-1),Atmospheric pressure (kPa),Shortwave radiation (W.m-2),Precipitation (mm)
2018-07-21 0:00,18.6875,16.625,87.75,0.4,101.565,0,0
2018-07-21 1:00,18.5,16.225,86.875,0.8,101.56875,0,0
2018-07-21 2:00,18.625,15.7,83.5,2.4,101.5675,0,0
2018-07-21 3:00,18.7125,15.4625,81.75,3,101.5675,0,0
2018-07-21 4:00,18.6125,14.85,79,2.4,101.56875,0,0
2018-07-21 5:00,17.85,14.425,80.375,0.8,101.595,0,0
2018-07-21 6:00,16.2875,13.775,85.125,0,101.63125,0,0
2018-07-21 7:00,15.875,13.8,87.5,1.6,101.67625,6.125,0
2018-07-21 8:00,18.0125,15.1125,83.125,5,101.705,101.875,0
2018-07-21 9:00,20.4,16.1125,76.625,4.6,101.7225,255.875,0
2018-07-21 10:00,22.6375,16.6625,69,6.6,101.72875,423.25,0
2018-07-21 11:00,24.5125,17.525,65.25,5,101.7175,581.25,0
2018-07-21 12:00,25.8125,17.4875,60.125,4,101.7175,713,0
2018-07-21 13:00,26.7375,17.4,56.625,3.8,101.68,664,0
2018-07-21 14:00,27.4625,17.5125,54.75,4.2,101.64375,759.625,0
2018-07-21 15:00,28.1125,16.4125,49.125,7.2,101.6125,878,0
2018-07-21 16:00,28.625,16.45,47.75,7.2,101.56375,834.25,0
2018-07-21 17:00,28.975,16.2375,46.125,6.2,101.51875,748.25,0
2018-07-21 18:00,29.075,16.8,47.625,7.4125,101.46625,612.875,0
2018-07-21 19:00,29.2875,16.3875,45.75,5.8,101.45375,455.5,0
2018-07-21 20:00,29.2375,16.2375,45.5,3.8,101.42375,300.875,0
2018-07-21 21:00,28.025,18.0625,55,0.8,101.41125,135.5,0
2018-07-21 22:00,23.8875,18.1625,70.625,0.4,101.435,18.5,0
2018-07-21 23:00,21.05,15.7875,72.75,1,101.5025,0,0
2018-07-22 0:00,20.225,14.0375,68,2.2,101.5325,0,0
2018-07-22 1:00,20.6875,13.5375,63.625,4.4,101.565,0,0
2018-07-22 2:00,20.075,13.35,65.25,4.8,101.56875,0,0
2018-07-22 3:00,19.3625,13.05,67,5.2,101.565,0,0
2018-07-22 4:00,18.175,13,71.625,5.2,101.5775,0,0
2018-07-22 5:00,17.1625,12.4875,74,5,101.58875,0,0
2018-07-22 6:00,16.2125,12.1,76.625,5.6,101.57875,0,0
2018-07-22 7:00,15.1625,11.7875,80.125,3.8,101.585,10.125,0
2018-07-22 8:00,15.95,12.35,79.125,2.8,101.58875,97.625,0
2018-07-22 9:00,17.4375,12.125,71.125,8.05,101.5925,190.5,0
2018-07-22 10:00,19.8375,11.625,59.125,12.1,101.62,403.625,0
2018-07-22 11:00,20.8625,12.3625,58.25,8.25,101.62375,321.875,0
2018-07-22 12:00,20.025,13.1875,64.875,4,101.6825,140.875,0
2018-07-22 13:00,19.7,14.7125,73.125,2.8,101.715,138.625,0
2018-07-22 14:00,19.475,15.7875,79.25,4.4,101.6925,196.125,0.3
2018-07-22 15:00,20.1625,16.5375,79.625,6,101.6625,241.125,0.2
2018-07-22 16:00,20.375,17.575,84,7.6125,101.64375,207.875,0.8
2018-07-22 17:00,21.075,18.35,84.5,8.8625,101.60375,343.75,0.2
2018-07-22 18:00,22.7125,19.1625,80.375,8.2375,101.59,454.375,0
2018-07-22 19:00,24,19.4375,75.75,14.1,101.52375,402.25,0
2018-07-22 20:00,24.1,19.475,75.375,12.7,101.5175,313.625,0
2018-07-22 21:00,23.75,19.175,75.625,11.9,101.54125,136.375,0
2018-07-22 22:00,22.95,19.1125,79,5.8,101.57125,33.375,0
2018-07-22 23:00,22.3125,19.0625,81.75,6,101.62375,0,0
2018-07-23 0:00,21.9,18.7,82,6.2,101.68375,0,0
2018-07-23 1:00,21.45,18.4375,83,7.4,101.6975,0,0
2018-07-23 2:00,21.225,18.3,83.375,7.2,101.7075,0,0
2018-07-23 3:00,20.9625,18.1375,84,8.025,101.69,0,0
2018-07-23 4:00,20.5125,17.95,85.25,6,101.7,0,0
2018-07-23 5:00,20.6,18.0625,85.375,6.8,101.6925,0,0
2018-07-23 6:00,20.95,18.175,84.25,7.8125,101.70625,0,0
2018-07-23 7:00,21.0375,18.6625,86.25,6.2,101.7275,0.5,0
2018-07-23 8:00,21.125,19.2875,89.25,5.8,101.765,26.5,0
2018-07-23 9:00,21.275,19.65,90.5,7.2,101.78875,45.625,0.4
2018-07-23 10:00,22.1,20.4375,90.375,6,101.82,124.75,0
2018-07-23 11:00,24.0625,21.375,85,8.425,101.8225,345.75,0
2018-07-23 12:00,25.575,21.9875,80.625,7.2125,101.83375,362.125,0
2018-07-23 13:00,26.55,22.3,77.625,8.0125,101.845,382.875,0
2018-07-23 14:00,26.8875,22.05,74.875,8.8625,101.8475,342.125,0
2018-07-23 15:00,27.025,22.125,74.625,8.85,101.81875,288.625,0
2018-07-23 16:00,26.85,22.5,77.125,6.6,101.8275,271.125,0
2018-07-23 17:00,27.075,22.8625,77.75,4.8,101.8075,208.75,0
2018-07-23 18:00,25.9625,22.9125,83.25,5.4,101.79375,190.125,0.2
2018-07-23 19:00,25.125,22.7125,86.5,7.2125,101.75375,126.875,0
2018-07-23 20:00,24.8875,22.65,87.5,6.4,101.745,85.875,0
2018-07-23 21:00,24.25,22.325,89,4.4,101.785,35.375,0
2018-07-23 22:00,24.4875,22.225,87.25,7.6125,101.78125,11.875,0
2018-07-23 23:00,24.2625,22.1125,87.75,6.6125,101.82625,0,0
2018-07-24 0:00,23.7125,21.8625,89.375,5.8,101.83,0,0.2
2018-07-24 1:00,24.0125,21.6,86.375,6.6125,101.83125,0,0
2018-07-24 2:00,24.7,21.375,81.875,10.8625,101.845,0,0
2018-07-24 3:00,24.6625,21.225,81.25,11.875,101.83375,0,0
2018-07-24 4:00,24.425,20.8375,80.375,11.9,101.8275,0,0
2018-07-24 5:00,24.0875,20.3125,79.5,9.65,101.85625,0,0
2018-07-24 6:00,23.725,19.7,78.125,10.875,101.87,0,0
2018-07-24 7:00,23.65,19.275,76.625,11.3,101.88375,4.5,0
2018-07-24 8:00,23.8125,19.1375,75.125,12.1,101.88,60.375,0
2018-07-24 9:00,24.05,19.6,76.125,10.275,101.87875,133.5,0
2018-07-24 10:00,24.5625,19.7625,74.625,13.9,101.875,127.625,0
2018-07-24 11:00,25.1625,20.1875,73.875,13.3,101.84,242.5,0
2018-07-24 12:00,26.6125,20.55,69.375,15.2875,101.82,360,0
2018-07-24 13:00,26.875,20.875,69.75,10.875,101.79375,387.5,0
2018-07-24 14:00,28.6125,21.2625,64.625,11.2875,101.755,613.5,0
2018-07-24 15:00,28.8625,21.2375,63.5,10.275,101.71125,444.625,0
2018-07-24 16:00,29.4375,21.0375,60.75,10.6625,101.6325,377.625,0
2018-07-24 17:00,30.6,20.5625,55.125,14.9,101.5725,601.875,0
2018-07-24 18:00,30.0625,20.8875,57.875,10.875,101.5075,332,0
2018-07-24 19:00,30.6375,20.425,54.625,11.4875,101.45,423.25,0
2018-07-24 20:00,29.4375,20.6625,59.25,6.2125,101.42625,123.125,0
2018-07-24 21:00,27.95,21.1625,66.625,4,101.44375,29.75,0
2018-07-24 22:00,26.575,21.125,72.125,2,101.4575,3.375,0
2018-07-24 23:00,25.55,20.8375,75.25,1.8,101.45375,0,0
2018-07-25 0:00,25.8625,20.6875,73.125,6.4,101.4475,0,0
2018-07-25 1:00,25,20.425,75.75,5.4,101.4375,0,0
2018-07-25 2:00,25.1,20.25,74.5,9.65,101.405,0,0
2018-07-25 3:00,24.8,20.0125,74.75,12.5,101.3625,0,0
2018-07-25 4:00,24.1375,19.7875,76.75,10.0625,101.33125,0,0
2018-07-25 5:00,23.7625,19.55,77.375,9.05,101.30625,0,0
2018-07-25 6:00,23.3125,19.275,78.25,8.45,101.28875,0,0
2018-07-25 7:00,23.175,19.0875,77.75,10.4625,101.24875,7,0
2018-07-25 8:00,23.6,19.1125,76,12.3,101.23375,67,0
2018-07-25 9:00,23.925,19.3625,75.625,13.1,101.21375,96.75,0
2018-07-25 10:00,24.875,19.9875,74.25,11.0625,101.19625,222.5,0
2018-07-25 11:00,25.825,20.5375,72.625,11.5,101.18875,320.625,0
2018-07-25 12:00,26.7875,20.6375,69,13.9,101.16375,416.125,0
2018-07-25 13:00,27.45,20.4125,65.5,16.1,101.09875,413.5,0
2018-07-25 14:00,27.775,20.55,64.875,14.9,101.0425,396.875,0
2018-07-25 15:00,27.975,20.7625,65,13.3,100.96625,365.375,0
2018-07-25 16:00,28.2125,20.9375,64.75,13.5,100.8575,325,0
2018-07-25 17:00,28.0625,21.025,65.625,17.5,100.78,298.5,0
2018-07-25 18:00,25.4625,21.325,77.875,14.9,100.7725,259.75,0
2018-07-25 19:00,25.4875,21.35,78,12.3,100.70125,167.25,0
2018-07-25 20:00,25.275,21.225,78.25,9.0625,100.645,60.125,0
2018-07-25 21:00,24.9375,21.175,79.625,10.875,100.6425,16.625,0
2018-07-25 22:00,22.2375,20.275,88.75,7.425,100.67875,0.25,8
2018-07-25 23:00,21.4375,20.35,93.5,5,100.70625,0,12.1
2018-07-26 0:00,21.275,20.325,94.375,4.6,100.7125,0,4.3
2018-07-26 1:00,21.1375,20.2375,94.625,3.2,100.7125,0,3.5
2018-07-26 2:00,20.575,19.775,95,6.2125,100.67625,0,2.6
2018-07-26 3:00,20.2625,19.4,94.75,6.2125,100.63625,0,0.1
2018-07-26 4:00,20.1375,19.2875,94.875,3.4,100.6275,0,0
2018-07-26 5:00,20,19.15,95,3.8,100.595,0,0
2018-07-26 6:00,19.9125,19.05,94.75,2.8,100.55625,0,0
2018-07-26 7:00,19.925,19.025,94.5,2.6,100.54125,0.125,0
2018-07-26 8:00,20.1375,19.2125,94.5,3.8,100.5675,15.125,0
2018-07-26 9:00,20.2875,19.4,94.625,5,100.59375,37.75,0
2018-07-26 10:00,20.9375,20.1875,95.375,5.2,100.595,123.875,0
2018-07-26 11:00,21.8875,20.875,94,6.2125,100.5725,204.25,0
2018-07-26 12:00,22.125,20.9125,92.875,4.8,100.56625,212.125,0.4
2018-07-26 13:00,22.9125,21.3625,91,6,100.57625,299.625,0
2018-07-26 14:00,23.475,21.4,88.125,6.2,100.575,346.375,0
2018-07-26 15:00,23.65,21.3,86.75,5.6,100.55875,285.5,0.1
2018-07-26 16:00,24.3125,21.325,83.5,4,100.5475,317.625,0
2018-07-26 17:00,24.8625,21.8125,83.125,6,100.53125,354.125,0
2018-07-26 18:00,25.6,21.8875,80,5.8,100.50875,344,0
2018-07-26 19:00,25.9875,22.0875,79.125,6.825,100.485,340,0
2018-07-26 20:00,25.525,21.925,80.5,6,100.51375,165.75,0
2018-07-26 21:00,24.225,21.3,83.875,8.225,100.58625,100.5,0.4
2018-07-26 22:00,21.125,19.3,89.375,4.8,100.6475,30.25,0.3
2018-07-26 23:00,20.8,19.5,92.25,3.8,100.71125,0,0
2018-07-27 0:00,20.7125,19.35,92.125,3.6,100.755,0,0
