"d_local","Air temperature (°C)","Wind speed (m.s-1)","Atmospheric pressure (Pa)","Shortwave radiation (W.m-2)","Longwave radiation (W.m-2)","Specific humidity (kg.kg-1)","Relative humidity (%)","Precipitation (mm)","measure_height_m","rheight_m","2m Wind speed (m.s-1)","Snow depth (cm)","Field snow depth (cm)","Snowfall probability","Snowfall (liquid equivalent, mm)"
2017-07-01,21.2416666666667,2.78935185185185,100050,81.6011464534921,394.855520402381,0.0139568266275425,88.5416666666667,5.2,10,0.12,1.77432986085357,NA,NA,7.79986330796264e-13,0
2017-07-02,20.35,5.49768518518518,100028.333333333,243.298714000206,382.532636283502,0.0113312766856804,76.1666666666667,0,10,0.12,3.49712316973215,NA,NA,8.35216774976642e-12,0
2017-07-03,19.2208333333333,4.74537037037037,100183.333333333,240.756057643253,361.198681413012,0.00974186836351966,71.375,0,10,0.12,3.01856947282143,NA,NA,6.31742079541586e-11,0
2017-07-04,18.6291666666667,2.02546296296296,100797.083333333,282.855417540451,340.409553510521,0.00836486198307019,66.5833333333333,0,10,0.12,1.288413799375,NA,NA,2.23944021298145e-10,0
2017-07-05,19.15,1.9212962962963,101141.25,344.433831645237,328.545793241078,0.00843369753398463,66.25,0,10,0.12,1.22215251826429,NA,NA,1.10721840618874e-10,0
2017-07-06,21.6708333333333,4.65277777777778,100491.666666667,278.12706522223,360.335528576071,0.0112378222783396,70.2083333333333,0,10,0.12,2.95967055627857,NA,NA,2.21753477227972e-12,0
2017-07-07,21.075,3.46064814814815,99791.6666666667,217.718382875611,385.53836708448,0.0126134817533131,80.7916666666667,11,10,0.12,2.20134700578929,NA,NA,1.98183090301099e-12,0
2017-07-08,18.8333333333333,2.04861111111111,99526.6666666667,141.927453324184,383.230504534645,0.0121842082181788,89.5,26.3,10,0.12,1.30313852851072,NA,NA,2.13493461925764e-11,0
2017-07-09,19.0333333333333,4.30555555555556,100034.166666667,304.102798631276,337.53849903871,0.0101733287472904,75.375,0,10,0.12,2.73879961924286,NA,NA,5.74130205166706e-11,0
2017-07-10,19.2625,3.78472222222222,100332.5,146.007785231779,382.012295920807,0.0113673316417195,82.0416666666667,3.1,10,0.12,2.40749321368929,NA,NA,2.28087929178314e-11,0
2017-07-11,21.3333333333333,4.07407407407407,100152.083333333,247.461421383728,373.086928287758,0.012051591977104,76.5416666666667,0,10,0.12,2.59155232788572,NA,NA,2.01833137068593e-12,0
2017-07-12,16.4166666666667,2.39583333333333,100732.916666667,183.367809413965,358.113369144798,0.0085656946667962,74.2083333333333,0,10,0.12,1.52400946554643,NA,NA,2.55235339712887e-09,0
2017-07-13,16.7875,2.40740740740741,100847.916666667,267.928981302441,351.250998008551,0.00875986285372421,75.875,4.7,10,0.12,1.53137183011429,NA,NA,1.30231159527837e-09,0
2017-07-14,16.7583333333333,2.77777777777778,100756.666666667,244.775980868501,358.376600151808,0.00916482636172515,79.2083333333333,1.1,10,0.12,1.76696749628572,NA,NA,1.00527972482337e-09,0
2017-07-15,19.5041666666667,2.68518518518519,100142.083333333,130.5925878366,391.200894560865,0.0119690784748568,85,2.5,10,0.12,1.70806857974286,NA,NA,1.2430412812046e-11,0
2017-07-16,20.4875,2.44212962962963,100286.25,270.026810089388,362.08019920393,0.012241569473944,82.0416666666667,9.3,10,0.12,1.55345892381786,NA,NA,4.05477871802603e-12,0
2017-07-17,20.2791666666667,1.48148148148148,100749.166666667,247.192328162366,373.680728466363,0.0123167780943145,84.1666666666667,16.9,10,0.12,0.942382664685716,NA,NA,4.4924405926891e-12,0
2017-07-18,21.0583333333333,2.21064814814815,100757.083333333,260.388879405904,377.439422380418,0.0121696500784723,79.5416666666667,0,10,0.12,1.40621163246072,NA,NA,2.27054778174578e-12,0
2017-07-19,21.3041666666667,2.83564814814815,100492.083333333,243.479940047246,376.11714569404,0.0124375803508016,79.7916666666667,0,10,0.12,1.803779319125,NA,NA,1.56971820490217e-12,0
2017-07-20,20.5125,2.33796296296296,100240,252.662059763932,384.895593695269,0.0123783872507801,83.0416666666667,0,10,0.12,1.48719764270715,NA,NA,3.57743518872428e-12,0
2017-07-21,21.1916666666667,3.86574074074074,99920.8333333333,278.698201855325,361.786359940291,0.011616972316017,74.3333333333333,0,10,0.12,2.45902976566429,NA,NA,3.00648347760836e-12,0
2017-07-22,18.375,2.17592592592593,100159.583333333,276.292837958251,344.253950543137,0.00841729123861393,65.2083333333333,0,10,0.12,1.38412453875714,NA,NA,3.62680077173966e-10,0
2017-07-23,16.4583333333333,1.37731481481481,100288.75,334.65311680348,307.579137450138,0.00727726488066436,66.3333333333333,0,10,0.12,0.876121383575001,NA,NA,4.88913713084784e-09,0
2017-07-24,14.2083333333333,2.36111111111111,100539.166666667,93.0019123218177,357.225729702554,0.00870459914650182,86.3333333333333,10.7,10,0.12,1.50192237184286,NA,NA,1.92886302800093e-08,0
2017-07-25,16.775,1.875,101092.083333333,235.440093596751,353.485400742477,0.00908906858927202,79.5833333333333,1.5,10,0.12,1.19270305999286,NA,NA,9.49343900531077e-10,0
2017-07-26,18.0041666666667,2.47685185185185,101121.25,247.241753447922,351.342822778439,0.0099318105556452,79.0833333333333,0,10,0.12,1.57554601752143,NA,NA,1.75501241289061e-10,0
2017-07-27,19.7958333333333,3.65740740740741,100113.333333333,168.661041111761,384.001832601699,0.0117640543723917,82.1666666666667,0.3,10,0.12,2.32650720344286,NA,NA,1.0632295515305e-11,0
2017-07-28,16.4833333333333,2.69675925925926,100297.916666667,256.605099211648,333.70022365742,0.008319105604257,72.9583333333333,0,10,0.12,1.71543094431072,NA,NA,2.60001141225435e-09,0
2017-07-29,15.0791666666667,1.95601851851852,100517.5,321.149030449813,309.666620552243,0.00741456766116834,73.3333333333333,0,10,0.12,1.24423961196786,NA,NA,1.8203990326179e-08,0
2017-07-30,17.45,1.63194444444445,100647.083333333,321.835492749206,325.270709781763,0.00824200052450694,70.125,0,10,0.12,1.03809340406786,NA,NA,8.58572490278113e-10,0
2017-07-31,21.1125,2.5,100614.583333333,264.062825632258,369.144584833929,0.0117291118716581,75.4166666666667,0,10,0.12,1.59027074665714,NA,NA,3.0492513940695e-12,0
2017-08-01,19.1166666666667,1.5162037037037,100753.333333333,314.619401057983,331.814755049067,0.00955370232922237,74,0,10,0.12,0.964469758389287,NA,NA,5.77729755827326e-11,0
2017-08-02,20.8708333333333,2.78935185185185,100676.666666667,289.110462012524,357.629758690058,0.0110402470453329,73.9583333333333,0,10,0.12,1.77432986085357,NA,NA,4.88855185728785e-12,0
2017-08-03,21.0416666666667,1.31944444444444,100831.25,192.011742687927,384.577267826326,0.0125971821529584,82.5,0,10,0.12,0.839309560735715,NA,NA,1.78117118302008e-12,0
2017-08-04,21.7583333333333,2.84722222222222,100415.833333333,264.112250917814,380.983858498069,0.0130371174605578,81.8333333333333,27.2,10,0.12,1.81114168369286,NA,NA,6.88507626378617e-13,0
2017-08-05,19.25,3.49537037037037,99921.25,108.938821064535,382.728529125928,0.0122303041371723,87.5,37,10,0.12,2.22343409949286,NA,NA,1.42039645018834e-11,0
2017-08-06,15.5583333333333,5.24305555555556,100307.5,149.791565426035,351.01837525817,0.00785984280240897,72.5,0,10,0.12,3.33515114923929,NA,NA,9.98431964622162e-09,0
2017-08-07,14.5375,1.27314814814815,100702.5,265.331407961537,320.887607432475,0.00771157182788893,76.9583333333333,0,10,0.12,0.809860102464286,NA,NA,2.81948914915364e-08,0
2017-08-08,16.5583333333333,1.73611111111111,100465,244.57278802788,337.630323808598,0.00854335411119455,75.4166666666667,0,10,0.12,1.10435468517857,NA,NA,1.87482596241986e-09,0
2017-08-09,17.9916666666667,4.16666666666667,100836.666666667,237.241370670359,346.127175848839,0.00922245890526799,73.4166666666667,0,10,0.12,2.65045124442857,NA,NA,2.97457428013306e-10,0
2017-08-10,17.9333333333333,1.30787037037037,101270.833333333,223.534091476071,350.351115263656,0.010302515066166,82.0416666666667,0,10,0.12,0.831947196167859,NA,NA,1.48601929360074e-10,0
2017-08-11,20.5041666666667,1.93287037037037,100857.5,251.135367610081,367.66314521308,0.0112161498129673,77.2916666666667,0,10,0.12,1.22951488283214,NA,NA,6.07326356788899e-12,0
2017-08-12,19.9375,3.27546296296296,100078.75,157.348142417757,388.960370175615,0.0121214123290728,84.0416666666667,11.2,10,0.12,2.08354917270358,NA,NA,7.35511592945126e-12,0
2017-08-13,19.6916666666667,3.13657407407407,100146.25,249.537283377093,360.035567661106,0.0106881752779604,76.7083333333333,1.4,10,0.12,1.99520079788929,NA,NA,2.01261731728447e-11,0
2017-08-14,19.0166666666667,3.21759259259259,100495,272.256439637817,343.709123575139,0.0102584603170041,76.5416666666667,0,10,0.12,2.04673734986429,NA,NA,5.29194589819655e-11,0
2017-08-15,18.375,2.65046296296296,100110,202.868830415133,362.263848743705,0.0110993232755995,84.4583333333333,0.7,10,0.12,1.68598148603929,NA,NA,6.41369804624638e-11,0
2017-08-16,16.2,2.85879629629629,100538.333333333,287.808929492874,321.046770366946,0.00817356822006219,73.2916666666667,0,10,0.12,1.81850404826072,NA,NA,3.76224492284507e-09,0
2017-08-17,16.7,1.50462962962963,100626.25,252.986069969246,343.145931653163,0.00875641987608222,76.1666666666667,0,10,0.12,0.95710739382143,NA,NA,1.43514492265752e-09,0
2017-08-18,18.3541666666667,3.29861111111111,100007.083333333,76.4609167556344,384.767039017426,0.0111795531034487,84.0833333333333,8,10,0.12,2.09827390183929,NA,NA,6.83161445638651e-11,0
2017-08-19,21.275,3.46064814814815,99733.3333333333,176.151717722741,387.595241929956,0.0126612697106121,80.4166666666667,0,10,0.12,2.20134700578929,NA,NA,1.54615486402361e-12,0
2017-08-20,20.1291666666667,3.83101851851852,100338.75,222.17764197247,369.456789051546,0.0110295393258168,76.2916666666667,3.6,10,0.12,2.43694267196072,NA,NA,1.12756565683252e-11,0
2017-08-21,20.9833333333333,3.44907407407407,100715,244.155418949849,367.197899712317,0.0120063168441892,78.8333333333333,0,10,0.12,2.19398464122143,NA,NA,2.68994599156176e-12,0
2017-08-22,20.9541666666667,3.40277777777778,99811.6666666667,172.680964337008,399.195771192389,0.0133600507655908,86.0416666666667,20.5,10,0.12,2.16453518295,NA,NA,1.46505988083981e-12,0
