CM_smpl1_suction_kPa,CM_smpl1_VWC_percent,CM_smpl2_suction_kPa,CM_smpl2_VWC_percent,CM_smpl3_suction_kPa,CM_smpl3_VWC_percent,CM_smpl4_suction_kPa,CM_smpl4_VWC_percent,CM_smpl5_suction_kPa,CM_smpl5_VWC_percent,CM_smpl6_suction_kPa,CM_smpl6_VWC_percent,CM_smpl7_suction_kPa,CM_smpl7_VWC_percent,CM_smpl8_suction_kPa,CM_smpl8_VWC_percent,CM_smpl9_suction_kPa,CM_smpl9_VWC_percent,CM_smpl10_suction_kPa,CM_smpl10_VWC_percent,CM_smpl11_suction_kPa,CM_smpl11_VWC_percent,CM_smpl12_suction_kPa,CM_smpl12_VWC_percent,CM_smpl13_suction_kPa,CM_smpl13_VWC_percent,CM_smpl14_suction_kPa,CM_smpl14_VWC_percent,AB_smpl1_suction_kPa,AB_smpl1_VWC_percent,AB_smpl2_suction_kPa,AB_smpl2_VWC_percent,AB_smpl3_suction_kPa,AB_smpl3_VWC_percent,AB_smpl4_suction_kPa,AB_smpl4_VWC_percent,AB_smpl5_suction_kPa,AB_smpl5_VWC_percent,AB_smpl6_suction_kPa,AB_smpl6_VWC_percent,AB_smpl7_suction_kPa,AB_smpl7_VWC_percent,AB_smpl8_suction_kPa,AB_smpl8_VWC_percent,BC_smpl1_suction_kPa,BC_smpl1_VWC_percent
0.306902199,32.69,0.338844156,33.87,0.36982818,30.68,2.432204009,32.61,0.352370871,30.51,0.304088503,29.17,0.240990543,30.25,0.289734359,29.91,0.205116218,30.21,0.260015956,29.38,0.304789499,30.16,0.297166603,30.47,0.328851631,30.93,0.344349931,30.02,0.145881426,22.59,0.329609712,28.19,0.349140315,22.94,0.34040819,33.13,0.319889511,32.45,0.345143739,34.97,0.309029543,26.67,0.299916252,25.98,0.351560441,30.6
0.312607937,32.67,0.387257645,33.86,0.384591782,30.67,2.877398415,32.52,0.397191549,30.5,0.328095293,29.16,0.258226019,30.16,0.334965439,29.9,0.271643927,30.17,0.279898132,29.37,0.350751874,30.13,0.320626932,30.46,0.348337315,30.88,0.355631319,29.99,0.230144182,22.56,0.377572191,28.15,0.416869383,22.87,0.449779855,32.98,0.44874539,32.3,0.505824662,34.78,0.42854852,26.49,0.419758984,25.8,0.356451133,30.59
0.328851631,32.65,0.462381021,33.84,0.432513831,30.65,3.326595533,32.41,0.512861384,30.49,0.373250158,29.13,0.293089325,30.07,0.427562886,29.87,0.321366054,30.1,0.297851643,29.36,0.432513831,30.08,0.349140315,30.44,0.379314985,30.81,0.384591782,29.92,0.297166603,22.49,0.449779855,28.1,0.480839348,22.8,0.564936975,32.82,0.597035287,32.14,0.68706844,34.59,0.566239289,26.3,0.555904257,25.61,0.375837404,30.57
0.384591782,32.53,0.554625713,33.81,0.54200089,30.62,3.837072455,32.27,0.743019138,30.45,0.442588372,29.08,0.380189396,30.02,0.626613865,29.82,0.360578643,30.02,0.316227766,29.33,0.555904257,30.04,0.410204103,30.42,0.470977326,30.72,0.479733449,29.83,0.357272838,22.43,0.547015963,28.05,0.545757861,22.73,0.688652296,32.66,0.758577575,31.97,0.889201118,34.4,0.731139083,26.1,0.707945784,25.41,0.422668614,30.54
0.575439937,32.41,0.671428853,33.77,0.722769804,30.59,4.207266284,32.14,1.047128548,30.46,0.623734835,29.02,0.588843655,29.98,0.899497582,29.76,0.527229861,29.96,0.331131121,29.29,0.711213514,29.98,0.549540874,30.4,0.698232404,30.63,0.727779805,29.71,0.421696503,22.39,0.665273156,27.99,0.586138165,22.66,0.837529282,32.52,0.944060876,31.8,1.129795915,34.21,0.931107875,25.88,0.88511561,25.21,0.508159443,30.49
0.895364766,32.35,0.824138115,33.69,0.937562007,30.56,4.315190768,32,1.389952631,30.45,0.961612278,28.94,0.924698174,29.99,1.207813835,29.7,0.855066713,29.88,0.348337315,29.25,0.901571138,29.92,0.748169501,30.37,1.006931669,30.55,1.119437883,29.6,0.492039536,22.33,0.816582371,27.94,0.598411595,22.58,1.006931669,32.36,1.164126029,31.61,1.402813705,34.01,1.161448614,25.65,1.088930093,25,0.647142616,30.42
1.253141175,32.27,1.051961874,33.62,1.172195366,30.48,4.518559444,31.85,1.815515663,30.36,1.402813705,28.83,1.306170888,29.92,1.55238701,29.62,1.256029964,29.78,0.381944271,29.19,1.124604974,29.85,0.957194071,30.34,1.348962883,30.46,1.603245391,29.47,0.583445104,22.27,0.993116048,27.88,0.657657837,22.49,1.193988104,32.16,1.412537545,31.42,1.702158508,33.81,1.422328787,25.43,1.324341535,24.78,0.820351544,30.35
1.667247213,32.19,1.327394458,33.57,1.435489433,30.41,4.698941086,31.68,2.355049284,30.26,1.9498446,28.71,1.713957308,29.79,1.927524913,29.53,1.725837892,29.67,0.473151259,29.13,1.377209469,29.77,1.180320636,30.29,1.749846689,30.36,2.172701179,29.34,0.707945784,22.2,1.180320636,27.82,0.778036551,22.41,1.399587323,31.99,1.6943378,31.22,2.051162179,33.6,1.706082389,25.21,1.592208727,24.57,0.995405417,30.28
2.142890601,32.12,1.479108388,33.51,1.737800829,30.36,4.764309868,31.51,2.951209227,30.15,2.618183008,28.59,2.228435149,29.68,2.344228815,29.44,2.285598803,29.55,0.622300285,29.07,1.667247213,29.68,1.428893959,30.25,2.238721139,30.25,2.844461107,29.2,0.859013522,22.13,1.377209469,27.76,0.901571138,22.31,1.629296033,31.81,2.01372425,31,2.437810818,33.4,2.02768272,24.99,1.905460718,24.34,1.183041556,30.22
2.666858665,32.05,1.489361078,33.43,2.084490883,30.32,4.841723676,31.34,3.459393778,30.04,3.380648362,28.45,2.86417797,29.58,2.786121169,29.34,2.937649652,29.41,0.797994687,29.01,2.004472027,29.58,1.702158508,30.2,2.79898132,30.13,3.622429984,29.03,1.03038612,22.06,1.584893192,27.69,1.023292992,22.21,1.883649089,31.62,2.382319469,30.78,2.851018268,33.21,2.398832919,24.77,2.269864852,24.11,1.202264435,30.15
