date,Experimental Plot,Lysimeter,Percolation (mm/day)
2018-07-01,E1,Lysimeter 1,0.0
2018-07-02,E1,Lysimeter 1,0.0
2018-07-03,E1,Lysimeter 1,0.0
2018-07-04,E1,Lysimeter 1,0.0
2018-07-05,E1,Lysimeter 1,0.0
2018-07-06,E1,Lysimeter 1,0.0
2018-07-07,E1,Lysimeter 1,0.0
2018-07-08,E1,Lysimeter 1,0.0
2018-07-09,E1,Lysimeter 1,0.0
2018-07-10,E1,Lysimeter 1,0.0
2018-07-11,E1,Lysimeter 1,0.0
2018-07-12,E1,Lysimeter 1,0.0
2018-07-13,E1,Lysimeter 1,0.0
2018-07-14,E1,Lysimeter 1,0.0
2018-07-15,E1,Lysimeter 1,0.0
2018-07-16,E1,Lysimeter 1,0.0
2018-07-17,E1,Lysimeter 1,0.0
2018-07-18,E1,Lysimeter 1,0.0
2018-07-19,E1,Lysimeter 1,0.0
2018-07-20,E1,Lysimeter 1,0.0
2018-07-21,E1,Lysimeter 1,0.0
2018-07-22,E1,Lysimeter 1,0.0
2018-07-23,E1,Lysimeter 1,0.0
2018-07-24,E1,Lysimeter 1,0.0
2018-07-25,E1,Lysimeter 1,0.0
2018-07-26,E1,Lysimeter 1,0.0
2018-07-27,E1,Lysimeter 1,0.0
2018-07-28,E1,Lysimeter 1,0.0
2018-07-29,E1,Lysimeter 1,0.0
2018-07-30,E1,Lysimeter 1,0.0
2018-07-31,E1,Lysimeter 1,0.0
2018-08-01,E1,Lysimeter 1,0.0
2018-08-02,E1,Lysimeter 1,0.0
2018-08-03,E1,Lysimeter 1,0.0
2018-08-04,E1,Lysimeter 1,0.0
2018-08-05,E1,Lysimeter 1,0.0
2018-08-06,E1,Lysimeter 1,0.0
2018-08-07,E1,Lysimeter 1,0.0
2018-08-08,E1,Lysimeter 1,0.0
2018-08-09,E1,Lysimeter 1,0.0
2018-08-10,E1,Lysimeter 1,0.0
2018-08-11,E1,Lysimeter 1,0.0
2018-08-12,E1,Lysimeter 1,0.0
2018-08-13,E1,Lysimeter 1,0.0
2018-08-14,E1,Lysimeter 1,0.0
2018-08-15,E1,Lysimeter 1,0.0
2018-08-16,E1,Lysimeter 1,0.0
2018-08-17,E1,Lysimeter 1,0.0
2018-08-18,E1,Lysimeter 1,0.0
2018-08-19,E1,Lysimeter 1,0.0
2018-08-20,E1,Lysimeter 1,0.0
2018-08-21,E1,Lysimeter 1,
2018-08-22,E1,Lysimeter 1,
2018-08-23,E1,Lysimeter 1,
2018-08-24,E1,Lysimeter 1,
2018-08-25,E1,Lysimeter 1,
2018-08-26,E1,Lysimeter 1,
2018-08-27,E1,Lysimeter 1,
2018-08-28,E1,Lysimeter 1,
2018-08-29,E1,Lysimeter 1,0.0
2018-08-30,E1,Lysimeter 1,0.0
2018-08-31,E1,Lysimeter 1,0.0
2018-09-01,E1,Lysimeter 1,0.0
2018-09-02,E1,Lysimeter 1,0.0
2018-09-03,E1,Lysimeter 1,0.0
2018-09-04,E1,Lysimeter 1,0.0
2018-09-05,E1,Lysimeter 1,0.0
2018-09-06,E1,Lysimeter 1,0.0
2018-09-07,E1,Lysimeter 1,0.0
2018-09-08,E1,Lysimeter 1,0.0
2018-09-09,E1,Lysimeter 1,0.0
2018-09-10,E1,Lysimeter 1,0.0
2018-09-11,E1,Lysimeter 1,0.0
2018-09-12,E1,Lysimeter 1,0.0
2018-09-13,E1,Lysimeter 1,0.0
2018-09-14,E1,Lysimeter 1,0.0
2018-09-15,E1,Lysimeter 1,0.0
2018-09-16,E1,Lysimeter 1,0.0
2018-09-17,E1,Lysimeter 1,0.0
2018-09-18,E1,Lysimeter 1,0.0
2018-09-19,E1,Lysimeter 1,0.0
2018-09-20,E1,Lysimeter 1,0.0
2018-09-21,E1,Lysimeter 1,0.0
2018-09-22,E1,Lysimeter 1,0.0
2018-09-23,E1,Lysimeter 1,0.0
2018-09-24,E1,Lysimeter 1,0.0
2018-09-25,E1,Lysimeter 1,0.0
2018-09-26,E1,Lysimeter 1,0.0
2018-09-27,E1,Lysimeter 1,0.0
2018-09-28,E1,Lysimeter 1,0.0
2018-09-29,E1,Lysimeter 1,0.0
2018-09-30,E1,Lysimeter 1,0.0
2018-10-01,E1,Lysimeter 1,0.0
2018-10-02,E1,Lysimeter 1,0.0
2018-10-03,E1,Lysimeter 1,0.0
2018-10-04,E1,Lysimeter 1,0.0
2018-10-05,E1,Lysimeter 1,0.0
2018-10-06,E1,Lysimeter 1,0.0
2018-10-07,E1,Lysimeter 1,0.0
2018-10-08,E1,Lysimeter 1,0.0
2018-10-09,E1,Lysimeter 1,0.0
2018-10-10,E1,Lysimeter 1,0.0
2018-10-11,E1,Lysimeter 1,
2018-10-12,E1,Lysimeter 1,
2018-10-13,E1,Lysimeter 1,
2018-10-14,E1,Lysimeter 1,
2018-10-15,E1,Lysimeter 1,
2018-10-16,E1,Lysimeter 1,
2018-10-17,E1,Lysimeter 1,
2018-10-18,E1,Lysimeter 1,
2018-10-19,E1,Lysimeter 1,
2018-10-20,E1,Lysimeter 1,
2018-10-21,E1,Lysimeter 1,
2018-10-22,E1,Lysimeter 1,
2018-10-23,E1,Lysimeter 1,
2018-10-24,E1,Lysimeter 1,
2018-10-25,E1,Lysimeter 1,
2018-10-26,E1,Lysimeter 1,
2018-10-27,E1,Lysimeter 1,
2018-10-28,E1,Lysimeter 1,
2018-10-29,E1,Lysimeter 1,
2018-10-30,E1,Lysimeter 1,
2018-10-31,E1,Lysimeter 1,0.9875
2018-11-01,E1,Lysimeter 1,0.96875
2018-11-02,E1,Lysimeter 1,1.025
2018-11-03,E1,Lysimeter 1,1.10625
2018-11-04,E1,Lysimeter 1,1.20625
2018-11-05,E1,Lysimeter 1,2.325
2018-11-06,E1,Lysimeter 1,7.1125
2018-11-07,E1,Lysimeter 1,7.2875
2018-11-08,E1,Lysimeter 1,6.20625
2018-11-09,E1,Lysimeter 1,5.75625
2018-11-10,E1,Lysimeter 1,5.35
2018-11-11,E1,Lysimeter 1,4.59375
2018-11-12,E1,Lysimeter 1,0.175
2018-11-13,E1,Lysimeter 1,4.04375
2018-11-14,E1,Lysimeter 1,0.3125
2018-11-15,E1,Lysimeter 1,0.0
2018-11-16,E1,Lysimeter 1,0.0
2018-11-17,E1,Lysimeter 1,0.0
2018-11-18,E1,Lysimeter 1,0.0
2018-11-19,E1,Lysimeter 1,0.0
2018-11-20,E1,Lysimeter 1,0.0
2018-11-21,E1,Lysimeter 1,0.0
2018-11-22,E1,Lysimeter 1,0.0
