date,Experimental Plot,Sensor,Variable,Value,Unit,Sensor Depth
2018-07-01,E1,First Sensor,Soil Volumetric Water Content,15.5879732,%,7.5 cm
2018-07-02,E1,First Sensor,Soil Volumetric Water Content,14.98388531,%,7.5 cm
2018-07-03,E1,First Sensor,Soil Volumetric Water Content,15.10664884,%,7.5 cm
2018-07-04,E1,First Sensor,Soil Volumetric Water Content,14.09380616,%,7.5 cm
2018-07-05,E1,First Sensor,Soil Volumetric Water Content,12.50429534,%,7.5 cm
2018-07-06,E1,First Sensor,Soil Volumetric Water Content,19.17115642,%,7.5 cm
2018-07-07,E1,First Sensor,Soil Volumetric Water Content,16.98460195,%,7.5 cm
2018-07-08,E1,First Sensor,Soil Volumetric Water Content,14.86548005,%,7.5 cm
2018-07-09,E1,First Sensor,Soil Volumetric Water Content,13.22362542,%,7.5 cm
2018-07-10,E1,First Sensor,Soil Volumetric Water Content,12.6706882,%,7.5 cm
2018-07-11,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-07-12,E1,First Sensor,Soil Volumetric Water Content,12.32815037,%,7.5 cm
2018-07-13,E1,First Sensor,Soil Volumetric Water Content,10.57812142,%,7.5 cm
2018-07-14,E1,First Sensor,Soil Volumetric Water Content,9.552892152,%,7.5 cm
2018-07-15,E1,First Sensor,Soil Volumetric Water Content,9.213647683,%,7.5 cm
2018-07-16,E1,First Sensor,Soil Volumetric Water Content,8.481852442,%,7.5 cm
2018-07-17,E1,First Sensor,Soil Volumetric Water Content,11.97298814,%,7.5 cm
2018-07-18,E1,First Sensor,Soil Volumetric Water Content,12.94167822,%,7.5 cm
2018-07-19,E1,First Sensor,Soil Volumetric Water Content,10.02939235,%,7.5 cm
2018-07-20,E1,First Sensor,Soil Volumetric Water Content,8.4189217,%,7.5 cm
2018-07-21,E1,First Sensor,Soil Volumetric Water Content,7.585984865,%,7.5 cm
2018-07-22,E1,First Sensor,Soil Volumetric Water Content,7.024249595,%,7.5 cm
2018-07-23,E1,First Sensor,Soil Volumetric Water Content,6.978471578,%,7.5 cm
2018-07-24,E1,First Sensor,Soil Volumetric Water Content,6.974412569,%,7.5 cm
2018-07-25,E1,First Sensor,Soil Volumetric Water Content,8.054746306,%,7.5 cm
2018-07-26,E1,First Sensor,Soil Volumetric Water Content,23.54339686,%,7.5 cm
2018-07-27,E1,First Sensor,Soil Volumetric Water Content,18.61184068,%,7.5 cm
2018-07-28,E1,First Sensor,Soil Volumetric Water Content,16.43843016,%,7.5 cm
2018-07-29,E1,First Sensor,Soil Volumetric Water Content,14.46514715,%,7.5 cm
2018-07-30,E1,First Sensor,Soil Volumetric Water Content,12.46980967,%,7.5 cm
2018-07-31,E1,First Sensor,Soil Volumetric Water Content,10.11898047,%,7.5 cm
